,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.93,18.42,61.0,55,0,13.87,ZA,1604179631
1,Mataura,-46.19,168.86,57.99,65,20,8.99,NZ,1604179760
2,Coyhaique,-45.58,-72.07,77.0,20,0,8.05,CL,1604179761
3,Aksarka,66.56,67.8,29.35,97,9,14.38,RU,1604179686
4,Roebourne,-20.78,117.13,69.67,78,0,10.42,AU,1604179761
5,Teya,60.38,92.63,12.47,90,100,5.53,RU,1604179761
6,Sørland,67.67,12.69,46.74,69,100,18.75,NO,1604179667
7,Qaanaaq,77.48,-69.36,8.53,83,83,6.02,GL,1604179761
8,Busselton,-33.65,115.33,60.01,80,100,4.07,AU,1604179685
9,Comodoro Rivadavia,-45.87,-67.5,69.8,52,0,5.82,AR,1604179762
10,Pitimbu,-7.47,-34.81,80.6,78,20,9.17,BR,1604179762
11,Punta Arenas,-53.15,-70.92,57.2,62,75,12.75,CL,1604179762
12,East London,-33.02,27.91,64.8,72,100,10.63,ZA,1604179763
13,Cherskiy,68.75,161.3,9.63,89,97,3.85,RU,1604179397
14,Harlingen,26.19,-97.7,82.4,42,1,12.75,US,1604179639
15,Ushuaia,-54.8,-68.3,50.0,93,90,9.17,AR,1604179682
16,Port Alfred,-33.59,26.89,63.36,81,63,13.4,ZA,1604179763
17,Bredasdorp,-34.53,20.04,57.2,82,0,4.7,ZA,1604179763
18,Yellowknife,62.46,-114.35,21.2,92,90,14.99,CA,1604179522
19,Nālūt,30.33,10.85,58.68,74,0,13.02,LY,1604179764
20,Hobart,-42.88,147.33,57.99,76,75,6.93,AU,1604179764
21,Ilulissat,69.22,-51.1,21.2,67,100,8.05,GL,1604179765
22,Lebu,-37.62,-73.65,58.46,71,0,9.17,CL,1604179518
23,Carutapera,-1.2,-46.02,80.44,75,21,7.76,BR,1604179765
24,Jamestown,42.1,-79.24,45.0,56,1,11.41,US,1604179765
25,Songkhla,6.83,100.67,75.2,100,75,2.28,TH,1604179765
26,Bondo,3.81,23.69,70.07,95,75,1.68,CD,1604179766
27,Talcahuano,-36.72,-73.12,55.4,87,90,9.17,CL,1604179766
28,Yerbogachën,61.28,108.01,0.79,92,0,2.33,RU,1604179766
29,Ancud,-41.87,-73.82,66.99,52,0,5.82,CL,1604179767
30,Mar del Plata,-38.0,-57.56,64.4,55,0,9.17,AR,1604179767
31,Bluff,-46.6,168.33,57.99,65,96,8.99,NZ,1604179683
32,Örnsköldsvik,63.29,18.72,41.0,100,96,3.36,SE,1604179767
33,Tasiilaq,65.61,-37.64,35.6,74,100,2.24,GL,1604179768
34,Hermanus,-34.42,19.23,57.0,80,0,5.01,ZA,1604179768
35,Saint George,37.1,-113.58,77.0,15,1,0.74,US,1604179611
36,Rikitea,-23.12,-134.97,75.47,68,0,6.04,PF,1604179682
37,New Norfolk,-42.78,147.06,57.99,66,25,1.01,AU,1604179768
38,Albany,42.6,-73.97,42.01,76,0,7.47,US,1604179560
39,Port Hardy,50.7,-127.42,48.2,81,75,14.99,CA,1604179769
40,Bengkulu,-3.8,102.27,75.43,88,100,4.07,ID,1604179692
41,Baykalovo,57.4,63.77,37.85,93,100,11.61,RU,1604179769
42,Upernavik,72.79,-56.15,16.23,96,92,14.43,GL,1604179679
43,Hithadhoo,-0.6,73.08,83.64,70,100,8.7,MV,1604179770
44,Saint-Philippe,-21.36,55.77,66.2,59,0,6.93,RE,1604179692
45,Murgab,37.5,61.97,46.4,42,0,6.93,TM,1604179770
46,Ribeira Grande,38.52,-28.7,69.8,94,75,16.11,PT,1604179770
47,Puerto Ayora,-0.74,-90.35,78.8,69,75,19.46,EC,1604179770
48,Atuona,-9.8,-139.03,78.69,73,15,17.22,PF,1604179771
49,Mehamn,71.04,27.85,37.09,85,100,13.42,NO,1604179553
50,Haines Junction,60.75,-137.51,12.2,85,100,3.36,CA,1604179177
51,Kampene,-3.6,26.67,67.57,92,7,0.87,CD,1604179771
52,Alofi,-19.06,-169.92,78.8,83,52,17.22,NU,1604179772
53,Muisne,0.6,-80.03,84.2,79,75,9.17,EC,1604179772
54,Mikkeli,61.69,27.27,39.2,93,90,5.82,FI,1604179764
55,Ariquemes,-9.91,-63.04,77.29,74,100,4.25,BR,1604179772
56,Nikolskoye,59.7,30.79,35.01,86,34,3.4,RU,1604179514
57,Lagoa,39.05,-27.98,69.15,88,41,23.22,PT,1604179773
58,Ponta do Sol,32.67,-17.1,72.0,64,20,12.75,PT,1604179726
59,Dukat,62.55,155.55,13.42,96,100,5.59,RU,1604179773
60,Águas Vermelhas,-15.75,-41.46,69.04,91,100,2.33,BR,1604179773
61,Cabo San Lucas,22.89,-109.91,87.8,65,20,13.87,MX,1604179721
62,Berlevåg,70.86,29.09,35.94,89,100,13.67,NO,1604179774
63,Methóni,36.82,21.7,63.0,81,0,7.96,GR,1604179774
64,Kyabé,9.45,18.94,80.82,54,5,3.58,TD,1604179774
65,Butaritari,3.07,172.79,81.28,75,100,15.48,KI,1604179552
66,Tommot,58.96,126.29,-5.06,89,94,2.01,RU,1604179727
67,Jilin,43.0,126.0,38.3,76,0,9.62,CN,1604179775
68,Coahuayana Viejo,18.73,-103.68,84.2,70,40,11.41,MX,1604179775
69,Avarua,-21.21,-159.78,75.2,83,98,11.41,CK,1604179713
70,Hilo,19.73,-155.09,87.8,55,1,5.82,US,1604179776
71,Beringovskiy,63.05,179.32,18.55,96,99,12.19,RU,1604179776
72,Hermiston,45.84,-119.29,60.01,44,1,4.7,US,1604179776
73,Kapaa,22.08,-159.32,84.2,66,40,12.75,US,1604179776
74,Saldanha,-33.01,17.94,59.0,67,0,6.93,ZA,1604179703
75,Laas,46.62,10.7,42.8,40,0,4.7,IT,1604179777
76,Puerto Escondido,15.85,-97.07,86.0,62,20,4.7,MX,1604179777
77,Grootfontein,-19.57,18.12,77.31,40,37,8.81,NA,1604179777
78,Cidreira,-30.18,-50.21,65.1,68,60,9.71,BR,1604179777
79,Kasane,-17.82,25.15,75.96,24,0,5.95,BW,1604179778
80,Abalak,58.13,68.59,35.69,91,100,10.71,RU,1604179778
81,Kalabo,-14.97,22.68,77.45,33,85,4.43,ZM,1604179778
82,Bichena,10.45,38.2,55.33,64,49,1.23,ET,1604179778
83,Khatanga,71.97,102.5,-7.08,87,10,8.81,RU,1604179779
84,Gariāband,20.64,82.06,65.46,72,0,1.03,IN,1604179779
85,Boat of Garten,57.25,-3.76,50.0,76,94,28.86,GB,1604179779
86,Bambous Virieux,-20.34,57.76,66.2,82,75,8.05,MU,1604179779
87,Robertsport,6.75,-11.37,79.93,83,38,7.34,LR,1604179780
88,Naze,28.37,129.48,71.6,83,75,11.41,JP,1604179700
89,Iskateley,67.68,53.15,33.4,93,95,14.45,RU,1604179780
90,São João da Barra,-21.64,-41.05,69.8,94,90,9.17,BR,1604179718
91,Carnarvon,-24.87,113.63,69.8,73,90,12.75,AU,1604179780
92,Chui,-33.7,-53.46,60.96,70,8,7.27,UY,1604179525
93,Nur,52.67,22.32,46.0,86,67,2.21,PL,1604179617
94,Mezen',65.85,44.24,29.26,95,14,5.5,RU,1604179781
95,Severo-Kuril'sk,50.68,156.12,42.51,75,88,18.84,RU,1604179521
96,Lompoc,34.64,-120.46,82.99,22,1,10.29,US,1604179753
97,Klaksvík,62.23,-6.59,48.2,93,90,9.17,FO,1604179678
98,Longyearbyen,78.22,15.64,24.8,73,75,8.05,SJ,1604179782
99,Ulaanbaatar,47.91,106.88,6.8,77,40,2.24,MN,1604179782
100,Padang,-0.95,100.35,77.61,80,100,3.69,ID,1604178924
101,Narsaq,60.92,-46.05,23.0,73,97,3.36,GL,1604179783
102,Goma,-1.68,29.22,64.18,79,99,1.43,CD,1604179783
103,Nikki,9.94,3.21,78.48,36,17,2.82,BJ,1604179784
104,Kangaatsiaq,68.31,-53.46,25.16,96,100,10.8,GL,1604179784
